rowid	retrieved	component	gene	domain	cath	kingdom	host	enzyme_name	substrate	EC	reference	pazy_accession	BLAST_link	pdb_accession	uniprot_accession	retrieved_name	retrieved_host	synthesized	enzymatic_activity
187	P13397.2	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Pseudomonas sp. strain NK87	NylA	PA	-	Kanagawa, 1989	NYLA_PSES8	P13397.2	-	NYLA_PSES8	6-aminohexanoate-cyclic-dimer hydrolase	-	FALSE	TRUE
188	P13398.2	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Paenarthrobacter ureafaciens K172	NylA	PA	-	Kinoshita, 1975; Kinoshita, 1977; Yasuhira, 2010	NYLA_FLASK	P13398.2	3A2P	NYLA_FLASK	6-aminohexanoate-cyclic-dimer hydrolase	-	FALSE	TRUE
189	Q12559.2	10	NylA	Amidase signature	3.90.1300.10	Eukaryotic	Aspergillus oryzae	PURase	PUR	-	Masaki, 2020	Q12559	Q12559	-	-	Acetamidase	-	FALSE	TRUE
190	WBR49956.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Metagenome	UMG-SP-1	PA; PUR	-	Bell, 2024; Branson, 2022	WBR49956	WBR49956	-	-	urethanase	uncultured bacterium	FALSE	TRUE
191	WBR49957.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Metagenome	UMG-SP-2	PA; PUR	-	Bell, 2024; Branson, 2022	WBR49957	WBR49957	-	-	urethanase	uncultured bacterium	FALSE	TRUE
192	WBR49958.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Metagenome	UMG-SP-3	PA; PUR	-	Bell, 2024; Branson, 2022	WBR49958	WBR49958	-	-	urethanase	uncultured bacterium	FALSE	TRUE
193	WP_011209364.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Nocardia farcinica IFM10512	aryl acylamidase	PA	-	Heumann, 2008; Bell, 2024	WP_011209364.1	WP_011209364.1	-	Q5YVW2	amidase	Nocardia farcinica	FALSE	TRUE
194	WP_185053500.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Thermocatellispora tengchongensis	TtA	PA	-	Bell, 2024	WP_185053500	WP_185053500	-	-	amidase	Thermocatellispora tengchongensis	FALSE	TRUE
195	WP_293218050.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Parvibaculum sp.	GatA-like	PA	-	Bell, 2024; Bittner, 2021	-	-	-	-	amidase	Parvibaculum sp.	FALSE	TRUE
196	WP_348608127.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Rhodococcus equi TB-60	ReU-like	PA	-	Bell, 2024; Kanbe, 2007	-	-	-	-	amidase family protein	Prescottella soli	FALSE	TRUE
197	XP_036664376.1	10	NylA	Amidase signature	3.90.1300.10	Eukaryotic	Candida parapsilosis NBRC 708	CPUTNase	PUR	-	Masaki, 2020	BBP47208; XP_036664376	XP_036664376	-	-	uncharacterized protein CPAR2_301880	Candida parapsilosis	FALSE	TRUE
198	ABY53108.1	11	AtryA	Trypsin-like	2.40.10.10	Bacteria	Amycolatopsis (Nocardia) orientalis	PLase2	PLA	EC 3.4.-	Fan, 2008	B0FLR6	ABY53108.1	-	B0FLR6	PLAase2	Amycolatopsis orientalis	FALSE	TRUE
199	Q75UA4	11	AtryA	Trypsin-like	2.40.10.10	Bacteria	Amycolatopsis (Nocardia) sp. strain K104-1	PLAase	PLA	EC 3.4	Nakamura, 2001	Q75UA4	-	-	Q75UA4	Poly(L-lactic acid) depolymerase	-	FALSE	TRUE
200	WP_044849715.1	12	AtryB	Trypsin-like	2.40.10.10	Bacteria	Amycolatopsis (Nocardia) orientalis	PLase3	PLA	EC 3.4.-	Fan, 2008	B0FY08	ABY67151.1	-	B0FY08	S1 family peptidase	Amycolatopsis orientalis	FALSE	TRUE
201	AII11185.1	14	Lmc	Cupredoxins - blue copper	2.60.40.420	Bacteria	Rhodococcus opacus R7	LMC021	PE	-	Zampolli, 2023	AII11185	AII11185.1	-	A0A076EYX8	copper oxidase	Rhodococcus opacus	FALSE	TRUE
202	AII11221.1	14	Lmc	Cupredoxins - blue copper	2.60.40.420	Bacteria	Rhodococcus opacus R7	LMC031	PE	-	Zampolli, 2023	AII11221	AII11221.1	-	A0A076EZK2	copper oxidase	Rhodococcus opacus	FALSE	TRUE
203	AQV11968.1	15	Rox	cytochrome c-like	NA	Bacteria	Steroidobacter cummioxidans 35Y	RoxB	NR	-	Tsuchii,1990	A0A1S6Q8F9	AQV11968.1	-	A0A1S6Q8F9	rubber oxygenase B	Xanthomonas sp. 35Y	FALSE	TRUE
204	BAS44780.1	15	Rox	cytochrome c-like	NA	Bacteria	R. gummiphilus NS21	LatA	NR	-	Kasai, 2017	LC073705	LC073705.1	-	A0A0M4UPQ3	rubber oxygenase	Piscinibacter gummiphilus	FALSE	TRUE
205	Q7X0P3	15	Rox	cytochrome c-like	NA	Bacteria	Steroidobacter cummioxidans 35Y	RoxA	NR	-	Tsuchii,1990	Q7X0P3	Q7X0P3	4B2N	Q7X0P3	70kDa	Xanthomonas sp. 35Y	FALSE	TRUE
206	H6N162	16	Lcp	oxygenase-like	NA	Bacteria	Gordonia polyisoprenivorans	Lcp1VH2	NR	-	Hiessl, 2012	H6N162	H6N162	-	H6N162	Latex clearing protein 1 Lcp	Gordonia polyisoprenivorans (strain DSM 44266 / VH2)	FALSE	TRUE
207	H6N4Z1	16	Lcp	oxygenase-like	NA	Bacteria	Gordonia polyisoprenivorans	Lcp2VH2	NR	-	Hiessl, 2012	H6N4Z1	H6N4Z1	-	H6N4Z1	Latex clearing protein Lcp	Gordonia polyisoprenivorans (strain DSM 44266 / VH2)	FALSE	TRUE
208	Q3L8N0.2	16	Lcp	oxygenase-like	NA	Bacteria	Streptomyces sp. K30	LCP_STRK3	NR	-	Yikmis, 2012; Rose, 2005; Yikmis, 2008	Q3L8N0	Q3L8N0.2	501l	-	Rubber oxygenase	-	FALSE	TRUE
209	QZD35498.1	16	Lcp	oxygenase-like	NA	Bacteria	Streptomyces sp. AC04842	Lcp1	NR	-	Basik, 2022	MT664881	QZD35498.1 	-	A0A975YYT9	latex clearing protein	Streptomyces sp. AC04842	FALSE	TRUE
210	QZD35499.1	16	Lcp	oxygenase-like	NA	Bacteria	Streptomyces sp. AC04842	Lcp2	NR	-	Basik, 2022	MT664882	QZD35499.1 	-	A0A975YYR5	latex clearing protein	Streptomyces sp. AC04842	FALSE	TRUE
211	WP_003460012.1	17	TesA	Arylesterase	TBDX	Bacteria	Ectopseudomonas oleovorans	lip1; Mors1	PET; PBAT	EC 3.1.1.2	Haernvall, 2017, Wallace, 2016	W6R2Y2	WP_003460012.1	-	W6R2Y2	arylesterase	Ectopseudomonas oleovorans	FALSE	TRUE
212	AKJ87250.1	18	Mcyc	cyclase-like	TBDY	Metagenome	Metagenome	MGS0084	PLA	EC 3.1.1.1	Hajighasemi, 2018	KP347755.1	-	-	A0A0G3FL20	hypothetical protein	uncultured organism	FALSE	TRUE
213	ACD16728.1	19	UraB	Uridase-like	TBDZ	Bacteria	Burkholderia phytofirmans DSM17436	PURase	PUR	-	Kang, 2021;	ACD16728.1	ACD16728.1	-	B2T567	urate catabolism protein	Paraburkholderia phytofirmans PsJN	FALSE	TRUE
214	dsPETase01	-	-	-	-	Bacteria	Aeromicrobium	dsPETase01	PET	-	Chen, 2024	-	-	-	-	-	-	FALSE	TRUE
215	dsPETase05	-	-	-	-	Bacteria	Aeromicrobium	dsPETase05	PET	-	Chen, 2024	-	-	-	-	-	-	FALSE	TRUE
216	dsPETase06	-	-	-	-	Bacteria	Aeromicrobium	dsPETase06	PET	-	Chen, 2024	-	-	-	-	-	-	FALSE	TRUE
217	TaC	-	-	-	-	Eukarya	Thermocarpiscus australiensis	TaC	PET	EC 3.1.1.74	Brinch-Pedersen, 2024	-	-	-	-	-	-	FALSE	TRUE
218	WP_008690040.1	-	-	-	-	Bacteria	Longicatena	HG-5	PET	-	Zhou, 2024	WP_008690040.1	WP_008690040.1	-	-	-	-	FALSE	TRUE
219	MGYP000532440779	-	-	-	-	Bacteria	Pseudomonas sp.	esterase MG8	PET	EC 3.1.1.1	Eiamthong, 2022	MGYP000532440779	MGYP000532440779	-	-	-	-	FALSE	TRUE
220	RtC	-	-	-	-	Eukarya	Remersonia thermophila	RtC	PET	EC 3.1.1.74	Brinch-Pedersen, 2024	-	-	-	-	-	-	FALSE	TRUE
221	-	-	-	-	-	Bacteria	Dactylosporangium sp. AC04546	Lcp1	NR	-	Basik, 2021	MW659700	MW659700.1	-	-	-	-	FALSE	FALSE
222	-	-	-	-	-	Bacteria	Dactylosporangium sp. AC04546	Lcp2	NR	-	Basik, 2021	MW659701	MW659701.1	-	-	-	-	FALSE	FALSE
223	-	-	-	-	-	Bacteria	Dactylosporangium sp. AC04546	Lcp3	NR	-	Basik, 2021	MW659702	MW659702.1	-	-	-	-	FALSE	FALSE
224	-	-	-	-	-	Bacteria	Microtetraspora sp. AC03309	Lcp1	NR	-	Basik, 2021	MW659698	MW659698.1	-	-	-	-	FALSE	FALSE
225	-	-	-	-	-	Bacteria	Microtetraspora sp. AC03309	Lcp2	NR	-	Basik, 2021	MW659699	MW659699.1	-	-	-	-	FALSE	FALSE
226	-	-	-	-	-	Bacteria	Nocardia farcinica CGMCCC4.1166	aryl acylamidase	PA	-	Guo, 2013	-	-	-	-	-	-	FALSE	TRUE
227	-	-	-	-	-	Bacteria	Nocardia globerula IFO 13510	aryl acylamidase	PA	-	Yoshioka, 1991	-	-	-	-	-	-	FALSE	TRUE
228	-	-	-	-	-	Bacteria	Pseudomonas sp. strain NK87	NylB	PA	-	Kanagawa, 1989	-	-	-	-	-	-	FALSE	TRUE
229	-	-	-	-	-	Bacteria	Pseudoxanthomonas sp. TN-N1	hydrolase	PA	-	Sasanami, 2022	-	-	-	-	-	-	FALSE	TRUE
230	-	-	-	-	-	Eukarya	Beauveria brongniartii	Protease	PA	-	Almansa, 2008	-	-	-	-	-	-	FALSE	TRUE
231	-	-	-	-	-	Eukarya	White rot fungus strain IZU-154	MnP	PA	-	Matsubara, 1996; Deguchi, 1998	-	-	-	-	-	-	FALSE	TRUE
232	-	-	-	-	-	Bacteria	Thermobifida fusca;	TfH	PBAT	-	Kleeberg, 2005; Müller,2005	-	-	-	-	-	-	FALSE	TRUE
233	-	-	-	-	-	Eukarya	Rhizopus delemar	Lipase	PBS	-	Zhou, 1999	-	-	-	-	-	-	FALSE	TRUE
234	-	-	-	-	-	Bacteria	Halopseudomonas formosensis	Hfor_PE-H	PET	-	Zhou, 2024	-	-	-	-	-	-	FALSE	NA
235	-	-	-	-	-	Bacteria	Pseudomonas sp. JM16B3	jmPE14	PET	-	Chen, 2024	-	-	-	-	-	-	FALSE	NA
236	-	-	-	-	-	Eukarya	Pseudozyma antarctica	CaL	PET	EC 3.1.1.3	Brackmann, 2023	-	-	-	-	-	-	FALSE	TRUE
237	-	-	-	-	-	Eukarya	Rhizomucor miehei	RmL	PET	EC 3.1.1.3	Brackmann, 2023	-	-	-	-	-	-	FALSE	TRUE
238	-	-	-	-	-	Eukarya	Thermomyces lanuginosus	Lipozyme TL	PET	EC 3.1.1.3	Brueckner, 2008; Eberl, 2009; Brackmann, 2023	-	-	-	-	-	-	FALSE	TRUE
239	-	-	-	-	-	Bacteria	Pseudomonas putida KT2442	PhaZ	PHA	-	Eugenio, 2007	-	-	-	-	-	-	FALSE	TRUE
240	-	-	-	-	-	Bacteria	Actinomadura keratinilytica T16-1	serine protease	PLA	EC 3.4.-	Sukkhum et al., 2009	-	-	-	-	-	-	FALSE	TRUE
241	-	-	-	-	-	Bacteria	Alcaligenes sp.	lipase PL	PLA	-	Hoshino, 2002	-	-	-	-	-	-	FALSE	TRUE
242	-	-	-	-	-	Bacteria	Amycolatopsis (Nocardia) orientalis	PLase1	PLA	EC 3.4.-	Fan, 2008	-	-	-	-	-	-	FALSE	TRUE
243	-	-	-	-	-	Bacteria	Amycolatopsis sp. strain 41	protease	PLA	EC 3.4.-	Pranamuda, 2001	-	-	-	-	-	-	FALSE	TRUE
244	-	-	-	-	-	Bacteria	Lederbergia (Bacillus) subtilis	Subtilisin	PLA	EC 3.4.-	Oda, 2000	-	-	-	-	-	-	FALSE	TRUE
245	-	-	-	-	-	Bacteria	Klebsiella oxytoca 1686	PURase	PUR	-	Kang, 2021;	-	-	-	-	-	-	FALSE	TRUE
246	-	-	-	-	-	Bacteria	Rhodococcus equi TB-60	urethanase-45	PUR	-	Akutsu-Shigeno, 2006	-	-	-	-	-	-	FALSE	TRUE
247	-	-	-	-	-	Eukaryotic	Pestalotiopsis microspora	lipase-21 kDa	PUR	-	Russel, 2011	-	-	-	-	-	-	FALSE	TRUE
248	FJ513077	-	-	-	-	-	-	-	BPA	-	-	-	-	-	-	-	-	FALSE	TRUE
249	https://www.rcsb.org/structure/1GYC	-	-	-	-	-	-	-	BPA	-	-	-	-	-	-	-	-	FALSE	TRUE
